ENV,REP,GEN,GY
8,1,20,5.29
8,2,1,5
8,2,2,5
8,2,3,5
8,2,4,5.28
8,2,5,5.39
8,2,6,4.17
8,2,7,4.03
8,2,8,3.89
8,2,9,6
8,2,10,5.18
8,2,11,5.1
8,2,12,4.5
8,2,13,5.28
8,2,14,5.63
8,2,15,4.58
8,2,16,4.86
8,2,17,4.4
8,2,18,3.63
8,2,19,4.57
8,2,20,4.89
8,3,1,4.17
8,3,2,4.58
8,3,3,4.86
8,3,4,5
8,3,5,5.28
8,3,6,4.58
8,3,7,3.33
8,3,8,4.08
8,3,9,5.58
8,3,10,4.86
8,3,11,4.86
8,3,12,5.1
8,3,13,4.72
8,3,14,5.42
8,3,15,4.44
8,3,16,4.17
8,3,17,4.28
8,3,18,4.17
8,3,19,4.03
8,3,20,4.44
9,1,1,7.86
9,1,2,7.75
9,1,3,7.6
9,1,4,7.22
9,1,5,6.85
9,1,6,7.44
9,1,7,6.38
9,1,8,7.6
9,1,9,6.02
9,1,10,6.8
9,1,11,5.02
9,1,12,5.73
9,1,13,7.02
9,1,14,7.23
9,1,15,6.63
9,1,16,4.66
9,1,17,5.5
9,1,18,4.73
9,1,19,6.03
9,1,20,6.26
9,2,1,5.7
9,2,2,5.95
9,2,3,6.25
9,2,4,7.73
9,2,5,4.6
9,2,6,5.81
9,2,7,4.61
9,2,8,6.16
9,2,9,5.13
9,2,10,7.06
9,2,11,5.92
9,2,12,5.62
9,2,13,6.58
9,2,14,7.12
9,2,15,6.73
9,2,16,6.55
9,2,17,7.96
9,2,18,5.64
9,2,19,6.12
9,2,20,7.64
9,3,1,6.49
9,3,2,6.29
9,3,3,5.47
9,3,4,5.64
9,3,5,6.44
9,3,6,5.53
9,3,7,4.24
9,3,8,5.37
9,3,9,6.88
9,3,10,7.58
9,3,11,6.28
9,3,12,6.58
9,3,13,7.57
9,3,14,7.95
9,3,15,7.22
9,3,16,4.36
9,3,17,7.39
9,3,18,4.79
9,3,19,5.63
9,3,20,5.59
10,1,1,5.95
10,1,2,5.63
10,1,3,7.43
10,1,4,6.75
10,1,5,7.59
10,1,6,7.42
10,1,7,6.95
10,1,8,7.08
10,1,9,6.76
10,1,10,6.14
10,1,11,5.76
10,1,12,5.46
10,1,13,6.64
10,1,14,7.68
10,1,15,7.04
10,1,16,7.21
10,1,17,7.02
10,1,18,5.66
10,1,19,5.8
10,1,20,5.6
10,2,1,6.21
10,2,2,5.64
10,2,3,8.29
10,2,4,6.76
10,2,5,7.67
10,2,6,7.01
10,2,7,4.5
10,2,8,5.8
10,2,9,5.56
10,2,10,6.61
10,2,11,6.42
10,2,12,5.39
10,2,13,5.92
10,2,14,7.81
10,2,15,7.01
10,2,16,6.95
10,2,17,6.03
10,2,18,5.07
10,2,19,4.77
10,2,20,5.8
10,3,1,7.65
10,3,2,6.11
10,3,3,6.89
10,3,4,7.5
10,3,5,5.64
10,3,6,5.18
10,3,7,7.53
10,3,8,5.82
10,3,9,4.76
10,3,10,5.59
10,3,11,7.41
10,3,12,4.68
10,3,13,7.14
10,3,14,5.53
10,3,15,6.23
10,3,16,7.72
10,3,17,6.31
10,3,18,6.77
10,3,19,6.58
10,3,20,7.34
